['Deep Learning and Its Applications in Biomedicine']	['A survey on deep learning in medicine: Why, how and when?']	['Information Fusion']	['66']	[',\npp.\n111-137\n']	[]	['2021']	[]
['CIRCpedia v2: An Updated Database for Comprehensive Circular RNA Annotation and Expression Comparison']	['CircAtlas: An integrated resource of one million highly accurate circular RNAs from 1070 vertebrate transcriptomes']	['Genome Biology']	['21']	['(1)']	[',101']	['2020']	['\n5\n']
['CIRCpedia v2: An Updated Database for Comprehensive Circular RNA Annotation and Expression Comparison']	['CircMiner: Accurate and rapid detection of circular RNA through splice-aware pseudo-alignment scheme']	['Bioinformatics']	['36']	['(12)']	[',\npp.\n3703-3711\n']	['2020']	['\n1\n']
['CIRCpedia v2: An Updated Database for Comprehensive Circular RNA Annotation and Expression Comparison']	['A guide to naming human non-coding RNA genes']	['EMBO Journal']	['39']	['(6)']	[',e103777']	['2020']	['\n4\n']
['CIRCpedia v2: An Updated Database for Comprehensive Circular RNA Annotation and Expression Comparison']	['A New World of Biomarkers and Therapeutics for Female Reproductive System and Breast Cancers: Circular RNAs']	['Frontiers in Cell and Developmental Biology']	['8']	[',50']	[]	['2020']	['\n4\n']
['CIRCpedia v2: An Updated Database for Comprehensive Circular RNA Annotation and Expression Comparison']	['The regulatory functions of circular rnas in digestive system cancers']	['Cancers']	['12']	['(3)']	[',770']	['2020']	['\n3\n']
['CIRCpedia v2: An Updated Database for Comprehensive Circular RNA Annotation and Expression Comparison']	['Functions and clinical significance of circular RNAs in glioma']	['Molecular Cancer']	['19']	['(1)']	[',34']	['2020']	['\n9\n']
['CIRCpedia v2: An Updated Database for Comprehensive Circular RNA Annotation and Expression Comparison']	['Circles in the heart and cardiovascular system']	['Cardiovascular Research']	['116']	['(2)']	[',\npp.\n269-278\n']	['2020']	['\n6\n']
['CIRCpedia v2: An Updated Database for Comprehensive Circular RNA Annotation and Expression Comparison']	['MiR-488-3p sponged by circ-0000495 and mediated upregulation of TROP2 in head and neck squamous cell carcinoma development']	['Journal of Cancer']	['11']	['(11)']	[',\npp.\n3375-3386\n']	['2020']	[]
['CIRCpedia v2: An Updated Database for Comprehensive Circular RNA Annotation and Expression Comparison']	['CirRNAPL: A web server for the identification of circRNA based on extreme learning machine']	['Computational and Structural Biotechnology Journal']	['18']	[',\npp.\n834-842\n']	[]	['2020']	['\n1\n']
['CIRCpedia v2: An Updated Database for Comprehensive Circular RNA Annotation and Expression Comparison']	['Methods for analysis of circular RNAs']	['Wiley Interdisciplinary Reviews: RNA']	['11']	['(1)']	[',e1566']	['2020']	['\n7\n']
['CIRCpedia v2: An Updated Database for Comprehensive Circular RNA Annotation and Expression Comparison']	['Genome-wide, integrative analysis of circular RNA dysregulation and the corresponding circular RNAmicroRNA-mRNA regulatory axes in autism']	['Genome Research']	['30']	['(3)']	[',\npp.\n375-391\n']	['2020']	['\n6\n']
['CIRCpedia v2: An Updated Database for Comprehensive Circular RNA Annotation and Expression Comparison']	['Regulatory roles of circRNAs in adipogenesis and lipid metabolism: emerging insights into lipid-related diseases']	['FEBS Journal']	[]	[]	[]	['2020']	[]
['CIRCpedia v2: An Updated Database for Comprehensive Circular RNA Annotation and Expression Comparison']	['Non-coding RNAs in Physiological Cardiac Hypertrophy']	['Advances in Experimental Medicine and Biology']	['1229']	[',\npp.\n149-161\n']	[]	['2020']	['\n2\n']
['CIRCpedia v2: An Updated Database for Comprehensive Circular RNA Annotation and Expression Comparison']	['Disease-Associated Circular RNAs: From Biology to Computational Identification']	['BioMed Research International']	['2020']	[',6798590']	[]	['2020']	[]
['CIRCpedia v2: An Updated Database for Comprehensive Circular RNA Annotation and Expression Comparison']	['Circular RNAs: The star molecules in cancer: Short Title: Circular RNAs in Cancer']	['Molecular Aspects of Medicine']	['70']	[',\npp.\n141-152\n']	[]	['2019']	['\n27\n']
['CIRCpedia v2: An Updated Database for Comprehensive Circular RNA Annotation and Expression Comparison']	['The Uroboros Theory of Life’s Origin: 22-Nucleotide Theoretical Minimal RNA Rings Reflect Evolution of Genetic Code and tRNA-rRNA Translation Machineries']	['Acta Biotheoretica']	['67']	['(4)']	[',\npp.\n273-297\n']	['2019']	['\n14\n']
['CIRCpedia v2: An Updated Database for Comprehensive Circular RNA Annotation and Expression Comparison']	['High-throughput RNA sequencing from paired lesional- and non-lesional skin reveals major alterations in the psoriasis circRNAome']	['BMC Medical Genomics']	['12']	['(1)']	[',174']	['2019']	['\n5\n']
['CIRCpedia v2: An Updated Database for Comprehensive Circular RNA Annotation and Expression Comparison']	['CircCode: A Powerful Tool for Identifying circRNA Coding Ability']	['Frontiers in Genetics']	['10']	[',981']	[]	['2019']	['\n10\n']
['CIRCpedia v2: An Updated Database for Comprehensive Circular RNA Annotation and Expression Comparison']	['Predicting circRNA-Disease Associations Based on circRNA Expression Similarity and Functional Similarity']	['Frontiers in Genetics']	['10']	[',832']	[]	['2019']	['\n3\n']
['CIRCpedia v2: An Updated Database for Comprehensive Circular RNA Annotation and Expression Comparison']	['Structure and Degradation of Circular RNAs Regulate PKR Activation in Innate Immunity']	['Cell']	['177']	['(4)']	[',\npp.\n865-880.e21\n']	['2019']	['\n90\n']
['CIRCpedia v2: An Updated Database for Comprehensive Circular RNA Annotation and Expression Comparison']	['The Landscape of Circular RNA in Cancer']	['Cell']	['176']	['(4)']	[',\npp.\n869-881.e13\n']	['2019']	['\n197\n                 ']
['CIRCpedia v2: An Updated Database for Comprehensive Circular RNA Annotation and Expression Comparison']	['The novel roles of circRNAs in human cancer']	['Molecular Cancer']	['18']	['(1)']	[',6']	['2019']	['\n99\n']
['CIRCpedia v2: An Updated Database for Comprehensive Circular RNA Annotation and Expression Comparison']	['Role of circular RNA in hematological malignancies (Review)']	['Oncology Letters']	['18']	['(5)']	[',\npp.\n4385-4392\n']	['2019']	['\n6\n']
['CIRCpedia v2: An Updated Database for Comprehensive Circular RNA Annotation and Expression Comparison']	['Circular RNAs: A novel target among non-coding RNAs with potential roles in malignant tumors (Review)']	['Molecular Medicine Reports']	['20']	['(4)']	[',\npp.\n3463-3474\n']	['2019']	['\n5\n']
['CIRCpedia v2: An Updated Database for Comprehensive Circular RNA Annotation and Expression Comparison']	['Bioinformatics Commons: The Cornerstone of Life and Health Sciences']	['Genomics, Proteomics and Bioinformatics']	['16']	['(4)']	[',\npp.\n223-225\n']	['2018']	[]
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['A new hybrid immunocapture bioassay with improved reproducibility to measure tissue factor-dependent procoagulant activity of microvesicles from body fluids']	['Thrombosis Research']	['196']	[',\npp.\n414-424\n']	[]	['2020']	[]
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['Role of platelet biomarkers in inflammatory response']	['Biomarker Research']	['8']	['(1)']	[',28']	['2020']	[]
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['Epithelial cell -derived microvesicles: A safe delivery platform of CRISPR/Cas9 conferring synergistic anti-tumor effect with sorafenib']	['Experimental Cell Research']	['392']	['(2)']	[',112040']	['2020']	['\n1\n']
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['Effect of physical exercise on the release of microparticles with angiogenic potential']	['Applied Sciences (Switzerland)']	['10']	['(14)']	[',4871']	['2020']	[]
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['Association of Microvesicles With Graft Patency in Patients Undergoing CABG Surgery']	['Journal of the American College of Cardiology']	['75']	['(22)']	[',\npp.\n2819-2832\n']	['2020']	['\n1\n']
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['Annexin V', ' Microvesicles in Children and Adolescents with Type 1 Diabetes: A Prospective Cohort Study']	['Journal of Diabetes Research']	['2020']	[',7216863']	[]	['2020']	[]
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['Apoptotic cell-derived exosomes: messages from dying cells']	['Experimental and Molecular Medicine']	['52']	['(1)']	[]	['2020']	['\n7\n']
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['Exosome and biomimetic nanoparticle therapies for cardiac regenerative medicine']	['Current Stem Cell Research and Therapy']	['15']	['(8)']	[',\npp.\n674-684\n']	['2020']	['\n1\n']
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['The potential involvement of P2X7 receptor in COVID-19 pathogenesis: A new therapeutic target?']	['Scandinavian Journal of Immunology']	[]	[]	[]	['2020']	[]
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['The functional role of surface molecules on extracellular vesicles in cancer, autoimmune diseases, and coagulopathy']	['Journal of Leukocyte Biology']	[]	[]	[]	['2020']	[]
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['Stroke Classification: Critical Role of Unusually Large von Willebrand Factor Multimers and Tissue Factor on Clinical Phenotypes Based on Novel “Two-Path Unifying Theory” of Hemostasis']	['Clinical and Applied Thrombosis/Hemostasis']	['26']	[]	[]	['2020']	[]
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['Current understanding of the role of adipose-derived extracellular vesicles in metabolic homeostasis and diseases: Communication from the distance between cells/tissues']	['Theranostics']	['10']	['(16)']	[',\npp.\n7422-7435\n']	['2020']	['\n1\n']
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['Extracellular vesicles and lupus nephritis - New insights into pathophysiology and clinical implications']	['Journal of Autoimmunity']	['102540']	[]	[]	['2020']	[]
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['Non-exosomal and exosomal circulatory MicroRNAs: Which are more valid as biomarkers?']	['Frontiers in Pharmacology']	['10']	[',01500']	[]	['2020']	['\n8\n']
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['Current State of Precision Medicine in Primary Systemic Vasculitides']	['Frontiers in Immunology']	['10']	[',2813']	[]	['2019']	[]
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['Exosomal proteins constitute an essential part of the human adipose tissue secretome']	['Biochimica et Biophysica Acta - Proteins and Proteomics']	['1867']	['(12)']	[',140172']	['2019']	['\n5\n']
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['On the road to accurate biomarkers for cardiometabolic diseases by integrating precision and gender medicine approaches']	['International Journal of Molecular Sciences']	['20']	['(23)']	[',6015']	['2019']	['\n1\n']
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['Microvesicles: ROS scavengers and ROS producers']	['Journal of Extracellular Vesicles']	['8']	['(1)']	[',1626654']	['2019']	['\n21\n']
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['Exploring the key communicator role of exosomes in cancer microenvironment through proteomics']	['Proteome Science']	['17']	['(1)']	[',5']	['2019']	['\n6\n']
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['Circulating microparticles as biomarkers of stroke: A focus on the value of endothelial- and platelet-derived microparticles']	['Journal of Cellular Physiology']	['234']	['(10)']	[',\npp.\n16739-16754\n']	['2019']	['\n5\n']
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['Biomarkers of platelet dysfunction in non-clinical safety studies and humans']	['Current Opinion in Toxicology']	['17']	[',\npp.\n41-49\n']	[]	['2019']	[]
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['Extracellular vesicles in lung health, disease, and therapy']	['American Journal of Physiology - Lung Cellular and Molecular Physiology']	['316']	['(6)']	[',\npp.\nL977-L989\n']	['2019']	['\n5\n']
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['Extracellular vesicles in autoimmune vasculitis - Little dirts light the fire in blood vessels']	['Autoimmunity Reviews']	['18']	['(6)']	[',\npp.\n593-606\n']	['2019']	['\n8\n']
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['Pharmacological inhibition of guanosine triphosphate cyclohydrolase1 elevates tyrosine phosphorylation of caveolin1 and cellular senescence']	['European Journal of Pharmacology']	['848']	[',\npp.\n1-10\n']	[]	['2019']	['\n1\n']
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['Clinical relevance of circulating molecules in cancer: focus on gastrointestinal stromal tumors']	['Therapeutic Advances in Medical Oncology']	['11']	[]	[]	['2019']	['\n6\n']
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['Mitochondria are a subset of extracellular vesicles released by activated monocytes and induce type I IFN and TNF responses in endothelial cells']	['Circulation Research']	['125']	['(1)']	[',\npp.\n43-52\n']	['2019']	['\n17\n']
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['A Combination of Proteomic Approaches Identifies A Panel of Circulating Extracellular Vesicle Proteins Related to the Risk of Suffering Cardiovascular Disease in Obese Patients']	['Proteomics']	['19']	['(1-2)']	[',1800248']	['2019']	['\n7\n']
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['Sodium intake, circulating microvesicles and cardiovascular outcomes in type 2 diabetes']	['Current Diabetes Reviews']	['15']	['(6)']	[',\npp.\n435-445\n']	['2019']	['\n1\n']
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['Tendothelial extracellular vesicles produced by senescent cells: Pathophysiological role in the cardiovascular disease associated with all types of diabetes mellitus']	['Current Vascular Pharmacology']	['17']	['(5)']	[',\npp.\n447-454\n']	['2019']	['\n7\n']
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	["Salivary extracellular vesicles versus whole saliva: New perspectives for the identification of proteomic biomarkers in Sjögren's syndrome"]	['Clinical and Experimental Rheumatology']	['37']	[',\npp.\nS240-S248\n']	[]	['2019']	['\n2\n']
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['Senescent microvesicles: A novel advance in molecular mechanisms of atherosclerotic calcification']	['International Journal of Molecular Sciences']	['19']	['(7)']	[',2003']	['2018']	['\n12\n']
['Microvesicles as Emerging Biomarkers and Therapeutic Targets in Cardiometabolic Diseases']	['A comprehensive study of calcific aortic stenosis: From rabbit to human samples']	['DMM Disease Models and Mechanisms']	['11']	['(6)']	[',dmm.033423']	['2018']	['\n2\n']
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['ASTN1 is associated with immune infiltrates in hepatocellular carcinoma, and inhibits the migratory and invasive capacity of liver cancer via the Wnt/β-catenin signaling pathway']	['Oncology Reports']	['44']	['(4)']	[',\npp.\n1425-1440\n']	['2020']	[]
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['Construction of a circRNA-miRNA-mRNA Network Related to Macrophage Infiltration in Hepatocellular Carcinoma']	['Frontiers in Genetics']	['11']	[',1026']	[]	['2020']	[]
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['Systematic summarization of the expression profiles and prognostic roles of the dishevelled gene family in hepatocellular carcinoma']	['Molecular Genetics and Genomic Medicine']	['8']	['(9)']	[',e1384']	['2020']	[]
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['Inhibition of pyruvate dehydrogenase kinase-1 by dicoumarol enhances the sensitivity of hepatocellular carcinoma cells to oxaliplatin via metabolic reprogramming']	['International Journal of Oncology']	['57']	['(3)']	[',\npp.\n733-742\n']	['2020']	[]
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['CDK1, CCNB1, and CCNB2 are prognostic biomarkers and correlated with immune infiltration in hepatocellular carcinoma']	['Medical Science Monitor']	['26']	[',e925289']	[]	['2020']	[]
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['Identification of Gene Signatures for Diagnosis and Prognosis of Hepatocellular Carcinomas Patients at Early Stage']	['Frontiers in Genetics']	['11']	[',857']	[]	['2020']	[]
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['Downregulation of GNA14 in hepatocellular carcinoma indicates an unfavorable prognosis']	['Oncology Letters']	['20']	['(1)']	[',\npp.\n165-172\n']	['2020']	[]
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['Downexpression of HSD17B6 correlates with clinical prognosis and tumor immune infiltrates in hepatocellular carcinoma']	['Cancer Cell International']	['20']	['(1)']	[',210']	['2020']	[]
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['Ancient genes can be served as pan-cancer diagnostic and prognostic biomarkers']	['Journal of Cellular and Molecular Medicine']	['24']	['(12)']	[',\npp.\n6908-6915\n']	['2020']	['\n1\n']
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['Expression of yhwaz and gene regulation network in hepatocellular carcinoma']	['Oncology Letters']	['19']	['(6)']	[',\npp.\n3971-3981\n']	['2020']	[]
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['Relationship between changes in the exon-recognition machinery and SLC22A1 alternative splicing in hepatocellular carcinoma']	['Biochimica et Biophysica Acta - Molecular Basis of Disease']	['1866']	['(5)']	[',165687']	['2020']	['\n1\n']
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['Heterogeneous immunogenomic features and distinct escape mechanisms in multifocal hepatocellular carcinoma']	['Journal of Hepatology']	['72']	['(5)']	[',\npp.\n896-908\n']	['2020']	['\n5\n']
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['Identification of CELSR2 as a novel prognostic biomarker for hepatocellular carcinoma']	['BMC Cancer']	['20']	['(1)']	[',313']	['2020']	[]
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['Expression, immune infiltration and clinical significance of SPAG5 in hepatocellular carcinoma: A gene expression-based study']	['Journal of Gene Medicine']	['22']	['(4)']	[',e3155']	['2020']	[]
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['CFHR3 is a potential novel biomarker for hepatocellular carcinoma']	['Journal of Cellular Biochemistry']	['121']	['(4)']	[',\npp.\n2970-2980\n']	['2020']	['\n1\n']
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['Mining Prognostic Biomarkers of Hepatocellular Carcinoma Based on Immune-Associated Genes']	['DNA and Cell Biology']	['39']	['(4)']	[',\npp.\n499-512\n']	['2020']	[]
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['Downregulation of orosomucoid 2 acts as a prognostic factor associated with cancer-promoting pathways in liver cancer']	['World Journal of Gastroenterology']	['26']	['(8)']	[',\npp.\n804-817\n']	['2020']	['\n2\n']
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['Promising key genes associated with tumor microenvironments and prognosis of hepatocellular carcinoma']	['World Journal of Gastroenterology']	['26']	['(8)']	[',\npp.\n789-803\n']	['2020']	['\n1\n']
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['Human Hepatic Cancer Stem Cells (HCSCs) Markers Correlated With Immune Infiltrates Reveal Prognostic Significance of Hepatocellular Carcinoma']	['Frontiers in Genetics']	['11']	[',112']	[]	['2020']	[]
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['Prognostic potential of PRPF3 in hepatocellular carcinoma']	['Aging']	['12']	['(1)']	[',\npp.\n912-930\n']	['2020']	[]
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['Bioinformatics analysis and RNA-sequencing of SCAMP3 expression and correlated gene regulation in hepatocellular carcinoma']	['OncoTargets and Therapy']	['13']	[',\npp.\n1047-1057\n']	[]	['2020']	['\n1\n']
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['DNA Primase Subunit 1 Expression in Hepatocellular Carcinoma and Its Clinical Implication']	['BioMed Research International']	['2020']	[',9689312']	[]	['2020']	[]
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['Overexpression of COL24A1 in hepatocellular carcinoma predicts poor prognosis: A study based on multiple databases, clinical samples and cell lines']	['OncoTargets and Therapy']	['13']	[',\npp.\n2819-2832\n']	[]	['2020']	['\n1\n']
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['Bioinformatics profiling identifies seven immune-related risk signatures for hepatocellular carcinoma']	['PeerJ']	['2020']	['(5)']	[',e8301']	['2020']	[]
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['PRELP has prognostic value and regulates cell proliferation and migration in hepatocellular carcinoma']	['Journal of Cancer']	['11']	['(21)']	[',\npp.\n6376-6389\n']	['2020']	[]
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['Clinical significance of long non-coding RNA DUXAP8 and its protein coding genes in hepatocellular carcinoma']	['Journal of Cancer']	['11']	['(20)']	[',\npp.\n6140-6156\n']	['2020']	[]
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['Regulation of expression of drug-metabolizing enzymes by oncogenic signaling pathways in liver tumors: a review']	['Acta Pharmaceutica Sinica B']	['10']	['(1)']	[',\npp.\n113-122\n']	['2020']	['\n3\n']
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['ZCCHC13-mediated induction of human liver cancer is associated with the modulation of DNA methylation and the AKT/ERK signaling pathway']	['Journal of Translational Medicine']	['17']	['(1)']	[',108']	['2019']	['\n5\n']
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['GTSE1, CDC20, PCNA, and MCM6 Synergistically Affect Regulations in Cell Cycle and Indicate Poor Prognosis in Liver Cancer']	['Analytical Cellular Pathology']	['2019']	[',1038069']	[]	['2019']	['\n2\n']
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['Data mining of the expression and regulatory role of BCAT1 in hepatocellular carcinoma']	['Oncology Letters']	['18']	['(6)']	[',\npp.\n5879-5888\n']	['2019']	['\n1\n']
['HCCDB: A Database of Hepatocellular Carcinoma Expression Atlas']	['Bioinformatics Commons: The Cornerstone of Life and Health Sciences']	['Genomics, Proteomics and Bioinformatics']	['16']	['(4)']	[',\npp.\n223-225\n                           ']	['2018']	[]
['VASC: Dimension Reduction and Visualization of Single-cell RNA-seq Data by Deep Variational Autoencoder']	['Unsupervised generative and graph representation learning for modelling cell differentiation']	['Scientific Reports']	['10']	['(1)']	[',9790']	['2020']	[]
['VASC: Dimension Reduction and Visualization of Single-cell RNA-seq Data by Deep Variational Autoencoder']	['Enhancing scientific discoveries in molecular biology with deep generative models']	['Molecular Systems Biology']	['16']	['(9)']	[',e9198']	['2020']	[]
['VASC: Dimension Reduction and Visualization of Single-cell RNA-seq Data by Deep Variational Autoencoder']	['Advances and challenges in epigenomic single-cell sequencing applications']	['Current Opinion in Chemical Biology']	['57']	[',\npp.\n17-26\n']	[]	['2020']	['\n2\n']
['VASC: Dimension Reduction and Visualization of Single-cell RNA-seq Data by Deep Variational Autoencoder']	['Relevant applications of generative adversarial networks in drug design and discovery: Molecular de novo design, dimensionality reduction, and de novo peptide and protein design']	['Molecules']	['25']	['(14)']	[',3250']	['2020']	[]
['VASC: Dimension Reduction and Visualization of Single-cell RNA-seq Data by Deep Variational Autoencoder']	['Method for motion data set visualization based on two-layer auto-encoders | [一种基于双层自编码的运动数据集可视化方法]']	['Nanjing Youdian Daxue Xuebao (Ziran Kexue Ban)/Journal of Nanjing University of Posts and Telecommunications (Natural Science)']	['40']	['(3)']	[',\npp.\n22-30\n']	['2020']	[]
['VASC: Dimension Reduction and Visualization of Single-cell RNA-seq Data by Deep Variational Autoencoder']	['A variational autoencoder solution for road traffic forecasting systems: Missing data imputation, dimension reduction, model selection and anomaly detection']	['Transportation Research Part C: Emerging Technologies']	['115']	[',102622']	[]	['2020']	['\n3\n']
['VASC: Dimension Reduction and Visualization of Single-cell RNA-seq Data by Deep Variational Autoencoder']	['Data generation and network reconstruction strategies for single cell transcriptomic profiles of CRISPR-mediated gene perturbations']	['Biochimica et Biophysica Acta - Gene Regulatory Mechanisms']	['1863']	['(6)']	[',194441']	['2020']	['\n2\n']
['VASC: Dimension Reduction and Visualization of Single-cell RNA-seq Data by Deep Variational Autoencoder']	['ScTIM: Seeking cell-Type-indicative marker from single cell RNA-seq data by consensus optimization']	['Bioinformatics']	['36']	['(8)']	[',\npp.\n2474-2485\n']	['2020']	[]
['VASC: Dimension Reduction and Visualization of Single-cell RNA-seq Data by Deep Variational Autoencoder']	['BayNorm: Bayesian gene expression recovery, imputation and normalization for single-cell RNA-sequencing data']	['Bioinformatics']	['36']	['(4)']	[',\npp.\n1174-1181\n']	['2020']	['\n1\n']
['VASC: Dimension Reduction and Visualization of Single-cell RNA-seq Data by Deep Variational Autoencoder']	['Eleven grand challenges in single-cell data science']	['Genome Biology']	['21']	['(1)']	[',31']	['2020']	['\n14\n']
['VASC: Dimension Reduction and Visualization of Single-cell RNA-seq Data by Deep Variational Autoencoder']	['Benchmarking principal component analysis for large-scale single-cell RNA-sequencing']	['Genome Biology']	['21']	['(1)']	[',9']	['2020']	['\n2\n']
['VASC: Dimension Reduction and Visualization of Single-cell RNA-seq Data by Deep Variational Autoencoder']	['Model-based autoencoders for imputing discrete single-cell RNA-seq data']	['Methods']	[]	[]	[]	['2020']	[]
['VASC: Dimension Reduction and Visualization of Single-cell RNA-seq Data by Deep Variational Autoencoder']	['A data partition strategy for dimension reduction']	['AIMS Mathematics']	['5']	['(5)']	[',\npp.\n4702-4721\n']	['2020']	[]
['VASC: Dimension Reduction and Visualization of Single-cell RNA-seq Data by Deep Variational Autoencoder']	['A dimensional reduced model for the classification of RNA-seq Anopheles gambiae data']	['Journal of Theoretical and Applied Information Technology']	['97']	['(23)']	[',\npp.\n3487-3496\n']	['2019']	['\n2\n']
['VASC: Dimension Reduction and Visualization of Single-cell RNA-seq Data by Deep Variational Autoencoder']	['Accuracy, robustness and scalability of dimensionality reduction methods for single-cell RNA-seq analysis']	['Genome Biology']	['20']	['(1)']	[',269']	['2019']	['\n7\n']
['VASC: Dimension Reduction and Visualization of Single-cell RNA-seq Data by Deep Variational Autoencoder']	['Emerging deep learning methods for single-cell RNA-seq data analysis']	['Quantitative Biology']	['7']	['(4)']	[',\npp.\n247-254\n']	['2019']	['\n3\n']
['VASC: Dimension Reduction and Visualization of Single-cell RNA-seq Data by Deep Variational Autoencoder']	['Using transfer learning from prior reference knowledge to improve the clustering of single-cell RNA-Seq data']	['Scientific Reports']	['9']	['(1)']	[',20353']	['2019']	[]
['VASC: Dimension Reduction and Visualization of Single-cell RNA-seq Data by Deep Variational Autoencoder']	['Deep generative autoencoder for low-dimensional embeding extraction from single-cell RNAseq data']	[]	['8983289']	[',\npp.\n1365-1372\n']	[]	['2019']	[]
['VASC: Dimension Reduction and Visualization of Single-cell RNA-seq Data by Deep Variational Autoencoder']	['Single Cell Explorer, collaboration-driven tools to leverage large-scale single cell RNA-seq data']	['BMC Genomics']	['20']	['(1)']	[',676']	['2019']	['\n2\n']
['VASC: Dimension Reduction and Visualization of Single-cell RNA-seq Data by Deep Variational Autoencoder']	['Deep learning intervention for health care challenges: Some biomedical domain considerations']	['Journal of Medical Internet Research']	['21']	['(8)']	[',e11966']	['2019']	['\n11\n']
['VASC: Dimension Reduction and Visualization of Single-cell RNA-seq Data by Deep Variational Autoencoder']	['Deconvolution of autoencoders to learn biological regulatory modules from single cell mRNA sequencing data']	['BMC Bioinformatics']	['20']	['(1)']	[',379']	['2019']	['\n1\n']
